G88853RH	WURCS=2.0/2,9,8/[a2122h-1x_1-5_2*NCC/3=O][a2122A-1x_1-5]/1-2-1-2-1-2-1-2-1/a?-b1_b?-c1_c?-d1_d?-e1_e?-f1_f?-g1_g?-h1_h?-i1
G77426CN	WURCS=2.0/3,5,4/[a1221m-1x_1-5][a221h-1x_1-5][a2112h-1x_1-5]/1-2-2-3-1/a?-b1_b?-c1_c?-d1_d?-e1
G71810DJ	WURCS=2.0/6,21,20/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5][Aad21122h-2x_2-6_5*NCCO/3=O]/1-1-2-2-1-3-4-5-1-3-6-5-2-1-3-5-5-1-3-3-5/a?-b1_a?-u1_b?-c1_c?-d1_c?-m1_d?-e1_d?-i1_e?-f1_e?-h1_f?-g2_i?-j1_i?-l1_j?-k2_m?-n1_m?-r1_n?-o1_n?-q1_o?-p1_r?-s1_s?-t1
G91142WU	WURCS=2.0/3,4,3/[a2122h-1x_1-5][a1122h-1x_1-5][a2122A-1x_1-5]/1-1-2-3/a?-b1_b?-c1_c?-d1
G27004VA	WURCS=2.0/5,14,13/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][a1221m-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O]/1-1-2-2-1-3-1-4-3-2-1-3-5-4/a?-b1_a?-n1_b?-c1_c?-d1_c?-j1_d?-e1_e?-f1_f?-g1_g?-h1_g?-i1_j?-k1_k?-l1_l?-m2
G00866EV	WURCS=2.0/4,4,3/[a2122h-1x_1-5][a2112h-1x_1-5][a2122h-1x_1-5_2*NCC/3=O][a2112h-1x_1-5_2*NCC/3=O]/1-2-3-4/a?-b1_b?-c1_b?-d1
G00866EV	WURCS=2.0/4,4,3/[a2122h-1x_1-5][a2112h-1x_1-5][a2122h-1x_1-5_2*NCC/3=O][a2112h-1x_1-5_2*NCC/3=O]/1-2-3-4/a?-b1_b?-c1_b?-d1
G85100QF	WURCS=2.0/2,2,1/[a1122m-1x_1-5_4*N][a1122m-1x_1-5_2*OC_4*N]/1-2/a?-b1
G46665PW	WURCS=2.0/8,20,19/[AUd21122h][a11221h-1x_1-5_4*OP^XOP^XOCCN/5O/5=O/3O/3=O][a11221h-1x_1-5][a2122h-1x_1-5][a2112m-1x_1-5_2*NCC/3=O_4*N][a2111A-1x_1-5_2*NCC/3=O][a2112h-1x_1-5][a2122h-1x_1-5_2*N]/1-2-3-4-4-4-5-6-5-6-5-6-5-6-5-6-7-7-3-8/a?-b1_b?-c1_c?-d1_c?-s1_d?-e1_e?-f1_e?-q1_f?-g1_g?-h1_h?-i1_i?-j1_j?-k1_k?-l1_l?-m1_m?-n1_n?-o1_o?-p1_q?-r1_s?-t1
G46665PW	WURCS=2.0/8,20,19/[AUd21122h][a11221h-1x_1-5_4*OP^XOP^XOCCN/5O/5=O/3O/3=O][a11221h-1x_1-5][a2122h-1x_1-5][a2112m-1x_1-5_2*NCC/3=O_4*N][a2111A-1x_1-5_2*NCC/3=O][a2112h-1x_1-5][a2122h-1x_1-5_2*N]/1-2-3-4-4-4-5-6-5-6-5-6-5-6-5-6-7-7-3-8/a?-b1_b?-c1_c?-d1_c?-s1_d?-e1_e?-f1_e?-q1_f?-g1_g?-h1_h?-i1_i?-j1_j?-k1_k?-l1_l?-m1_m?-n1_n?-o1_o?-p1_q?-r1_s?-t1
G80548QX	WURCS=2.0/4,5,4/[u2112h][a2112h-1x_1-5][a211h-1x_1-5][a211h-1x_1-4]/1-2-2-3-4/a?-b1_a?-d1_b?-c1_d?-e1
G25750LQ	WURCS=2.0/3,5,4/[h2122h][a2112h-1x_1-?][a2122h-1x_1-5]/1-2-3-3-3/a?-b1_b?-c1_c?-d1_d?-e1
G54975NY	WURCS=2.0/3,6,5/[a2122h-1x_1-5_2*NCC/3=O][a2112h-1x_1-5][a2122h-1x_1-5_2*NCC/3=O_6*OSO/3=O/3=O]/1-2-1-2-3-2/a?-b1_b?-c1_c?-d1_d?-e1_e?-f1
G50204LE	WURCS=2.0/7,19,18/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5][Aad21122h-2x_2-6_5*NCCO/3=O][a2112h-1x_1-5_2*NCC/3=O]/1-1-2-2-1-3-4-5-1-5-3-2-1-3-6-5-1-7-5/a?-b1_a?-s1_b?-c1_c?-d1_c?-l1_d?-e1_d?-i1_e?-f1_e?-h1_f?-g2_i?-j1_i?-k1_l?-m1_l?-q1_m?-n1_m?-p1_n?-o2_q?-r1
G50204LE	WURCS=2.0/7,19,18/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5][Aad21122h-2x_2-6_5*NCCO/3=O][a2112h-1x_1-5_2*NCC/3=O]/1-1-2-2-1-3-4-5-1-5-3-2-1-3-6-5-1-7-5/a?-b1_a?-s1_b?-c1_c?-d1_c?-l1_d?-e1_d?-i1_e?-f1_e?-h1_f?-g2_i?-j1_i?-k1_l?-m1_l?-q1_m?-n1_m?-p1_n?-o2_q?-r1
G49847JA	WURCS=2.0/2,2,1/[a1122h-1x_1-5][a1d21m-1x_1-5]/1-2/a?-b1
G58209EN	WURCS=2.0/5,9,8/[u2122h_2*NCC/3=O][a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5][a2112h-1x_1-5]/1-2-3-3-2-4-5-3-4/a?-b1_a?-i1_b?-c1_c?-d1_c?-h1_d?-e1_e?-f1_e?-g1
G24600BT	WURCS=2.0/4,19,18/[axxxxh-1x_1-?_2*NCC/3=O][axxxxh-1x_1-?][Aad21122h-2x_2-6_5*NCCO/3=O][axxxxm-1x_1-?]/1-1-2-2-1-2-1-2-3-1-2-1-2-3-2-1-2-3-4/a?-b1_a?-s1_b?-c1_c?-d1_c?-o1_d?-e1_d?-j1_e?-f1_f?-g1_g?-h1_h?-i2_j?-k1_k?-l1_l?-m1_m?-n2_o?-p1_p?-q1_q?-r2
